Churn,Contract,customerID,Dependents,DeviceProtection,gender,InternetService,MultipleLines,Sum of MonthlyCharges,Sum of numAdminTickets,Sum of numTechTickets,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingTV,StreamingMovies,TechSupport,Sum of tenure,Sum of TotalCharges
No,Month-to-month,1744-JHKYS,No,No internet service,Female,No,Yes,24.7,0,0,No internet service,No internet service,No,Yes,Electronic check,Yes,No,No internet service,No internet service,No internet service,34,780.2
No,Month-to-month,1746-TGTWV,No,Yes,Male,Fiber optic,No,75.35,0,0,No,No,No,Yes,Credit card (automatic),Yes,No,No,No,No,1,75.35
No,Month-to-month,1751-NCDLI,No,Yes,Male,Fiber optic,Yes,98.85,0,0,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,46,4564.9
No,Month-to-month,1754-GKYPY,No,No,Male,Fiber optic,No,89.75,0,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes,No,22,1938.9
No,Month-to-month,1755-RMCXH,Yes,No internet service,Male,No,No,20.3,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,2,40.25
No,Month-to-month,1760-CAZHT,Yes,No internet service,Male,No,No,20.8,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,25,460.2
No,Month-to-month,1763-WQFUK,No,No,Male,DSL,No,50.5,0,0,No,No,Yes,No,Mailed check,Yes,No,No,No,Yes,3,147.75
No,Month-to-month,1766-GKNMI,No,No,Male,Fiber optic,Yes,84.9,0,0,No,No,Yes,No,Electronic check,Yes,No,No,Yes,No,29,2516.2
No,Month-to-month,1767-TGTKO,Yes,No,Female,DSL,No,45.45,0,0,No,No,Yes,Yes,Electronic check,Yes,No,No,No,No,8,411.75
No,Month-to-month,1768-HNVGJ,No,No,Female,DSL,Yes,70.05,0,0,No,Yes,Yes,No,Electronic check,Yes,Yes,No,Yes,Yes,45,3062.45
No,Month-to-month,1769-GRUIK,No,No,Female,Fiber optic,No,71.1,0,0,No,No,Yes,No,Electronic check,Yes,No,No,No,No,18,1247.75
No,Month-to-month,1777-JYQPJ,No,No,Male,DSL,No phone service,24.3,0,0,No,No,No,No,Mailed check,No,No,No,No,No,2,38.45
No,Month-to-month,1784-BXEFA,No,No internet service,Female,No,No,20.55,0,0,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,10,187.35
No,Month-to-month,1785-BPHTP,Yes,Yes,Male,Fiber optic,No,85.45,0,1,No,No,No,Yes,Electronic check,Yes,No,Yes,No,No,28,2289.9
No,Month-to-month,1791-PQHBB,Yes,No,Female,DSL,No,61.2,0,0,No,Yes,Yes,No,Credit card (automatic),Yes,No,No,Yes,No,2,125.95
No,Month-to-month,1794-SWWKL,Yes,Yes,Male,DSL,Yes,59.65,1,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,Yes,15,867.1
No,Month-to-month,1796-JANOW,No,No internet service,Female,No,No,19.95,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,2,38.15
No,Month-to-month,1803-BGNBD,No,No,Female,DSL,No,54.3,0,1,Yes,No,Yes,No,Electronic check,Yes,No,No,No,Yes,12,654.5
No,Month-to-month,1810-MVMAI,Yes,Yes,Male,DSL,Yes,67.6,2,0,Yes,Yes,No,Yes,Electronic check,Yes,No,No,No,Yes,30,2000.2
No,Month-to-month,1814-DKOLC,No,No internet service,Female,No,Yes,25.45,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,5,134.75
No,Month-to-month,1816-FLZDK,No,No,Male,DSL,No phone service,29.15,2,0,No,No,No,No,Mailed check,No,No,No,No,Yes,1,29.15
No,Month-to-month,1818-ESQMW,No,Yes,Female,Fiber optic,No,89.2,0,0,No,No,Yes,No,Electronic check,Yes,No,No,Yes,Yes,27,2383.6
No,Month-to-month,1833-TCXKK,No,Yes,Male,Fiber optic,Yes,107.75,2,0,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,No,45,4882.8
No,Month-to-month,1845-CSBRZ,Yes,No,Female,Fiber optic,Yes,85.35,0,0,No,No,No,Yes,Bank transfer (automatic),Yes,Yes,Yes,No,No,22,1961.6
No,Month-to-month,1845-ZLLIG,No,No,Male,DSL,No,50.15,0,0,Yes,No,Yes,No,Mailed check,Yes,No,No,No,No,1,50.15
No,Month-to-month,1848-LBZHY,No,No,Female,DSL,No,50.3,5,0,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,No,7,355.1
No,Month-to-month,1849-RJYIG,No,No,Female,DSL,No,60,0,0,No,Yes,Yes,No,Electronic check,Yes,No,Yes,No,No,8,487.75
No,Month-to-month,1850-AKQEP,Yes,No internet service,Male,No,No,20.35,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,8,178.7
No,Month-to-month,1852-XEMDW,No,Yes,Male,DSL,Yes,65.05,0,0,Yes,Yes,No,No,Mailed check,Yes,No,No,No,No,22,1427.55
No,Month-to-month,1853-ARAAQ,No,Yes,Female,DSL,No phone service,50.35,0,0,No,No,Yes,No,Credit card (automatic),No,No,Yes,Yes,No,26,1277.5
No,Month-to-month,1855-CFULU,No,No internet service,Female,No,No,20.05,0,0,No internet service,No internet service,No,No,Mailed check,Yes,Yes,No internet service,No internet service,No internet service,4,91.45
No,Month-to-month,1866-OBPNR,Yes,No,Male,Fiber optic,No,74.6,0,0,Yes,No,No,Yes,Credit card (automatic),Yes,No,No,No,No,1,74.6
No,Month-to-month,1866-ZSLJM,No,No internet service,Male,No,No,20.5,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,21,402.85
No,Month-to-month,1867-TJHTS,No,No,Female,Fiber optic,Yes,79.8,0,0,No,Yes,Yes,No,Bank transfer (automatic),Yes,No,No,No,No,58,4526.85
No,Month-to-month,1895-QTKDO,No,No,Female,DSL,No,43.95,0,0,No,No,No,No,Credit card (automatic),Yes,No,No,No,No,1,43.95
No,Month-to-month,1905-OEILC,No,No internet service,Female,No,No,19.5,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,1,19.5
No,Month-to-month,1907-YLNYW,No,Yes,Male,DSL,No,66.7,0,0,No,Yes,Yes,No,Electronic check,Yes,No,No,Yes,No,8,579
No,Month-to-month,1910-FMXJM,No,No,Female,Fiber optic,No,80.4,0,0,No,No,No,Yes,Electronic check,Yes,No,No,Yes,No,36,2937.65
No,Month-to-month,1919-RTPQD,Yes,No,Male,DSL,No,44.75,0,0,No,No,No,Yes,Electronic check,Yes,No,No,No,No,7,333.65
No,Month-to-month,1925-GMVBW,No,No internet service,Female,No,No,20.55,1,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,5,96.1
No,Month-to-month,1928-BXYIV,No,No,Male,DSL,Yes,61.15,0,0,Yes,Yes,No,No,Electronic check,Yes,No,No,No,No,1,61.15
No,Month-to-month,1930-WNXSB,Yes,No,Male,Fiber optic,No,92.85,0,0,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,58,5305.05
No,Month-to-month,1932-UEDCX,No,No,Male,Fiber optic,Yes,100.6,0,0,Yes,No,Yes,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes,No,33,3270.25
No,Month-to-month,1935-IMVBB,No,No,Male,Fiber optic,No,89.7,2,3,No,No,No,Yes,Mailed check,Yes,No,Yes,Yes,No,56,4952.95
No,Month-to-month,1941-HOSAM,Yes,No,Male,Fiber optic,No,90.1,0,0,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,1,90.1
No,Month-to-month,1942-OQFRW,No,No,Male,DSL,No,44,1,0,No,No,No,No,Electronic check,Yes,No,No,No,No,1,44
No,Month-to-month,1958-RNRKS,No,No,Male,DSL,Yes,49.9,0,0,No,No,No,Yes,Electronic check,Yes,No,No,No,No,30,1441.95
No,Month-to-month,1960-UYCNN,No,Yes,Male,Fiber optic,Yes,95.25,0,0,Yes,No,Yes,No,Electronic check,Yes,No,No,Yes,No,10,1021.55
No,Month-to-month,1976-AZZPJ,No,No,Male,DSL,No phone service,34.2,0,0,Yes,Yes,No,Yes,Mailed check,No,No,No,No,No,7,256.6
No,Month-to-month,1984-GPTEH,No,No internet service,Female,No,Yes,25.15,0,0,No internet service,No internet service,No,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,29,702
No,Month-to-month,1986-PHGZF,No,No,Male,DSL,Yes,58.4,1,0,Yes,Yes,Yes,No,Credit card (automatic),Yes,Yes,No,No,No,18,964.9
No,Month-to-month,1991-VOPLL,No,No internet service,Female,No,No,19.05,1,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,9,157.65
No,Month-to-month,1996-DBMUS,No,No,Female,Fiber optic,No,70.65,0,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,Yes,No,No,No,48,3545.05
No,Month-to-month,2018-PZKMU,Yes,Yes,Male,Fiber optic,No,103.1,0,0,No,No,No,Yes,Electronic check,Yes,No,Yes,Yes,Yes,9,970.45
No,Month-to-month,2018-QKYGT,Yes,No,Male,Fiber optic,No,81.05,0,0,No,No,Yes,Yes,Electronic check,Yes,No,No,Yes,No,1,81.05
No,Month-to-month,2023-VQFDL,No,No internet service,Male,No,No,19,0,0,No internet service,No internet service,No,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,18,348.8
No,Month-to-month,2027-CWDNU,Yes,No,Male,Fiber optic,No,85.6,2,0,No,No,Yes,Yes,Electronic check,Yes,No,No,Yes,Yes,18,1601.5
No,Month-to-month,2027-WKXMW,No,Yes,Female,Fiber optic,Yes,108.75,5,0,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,Yes,63,6871.7
No,Month-to-month,2038-LLMLM,No,Yes,Female,Fiber optic,Yes,103.85,0,4,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,48,4946.05
No,Month-to-month,2038-OEQZH,No,Yes,Male,Fiber optic,No,86.05,3,0,No,No,No,No,Electronic check,Yes,No,No,Yes,No,4,308.1
No,Month-to-month,2038-YSEZE,No,No,Female,DSL,Yes,67.45,0,0,Yes,Yes,No,No,Mailed check,Yes,No,No,No,Yes,29,1801.1
No,Month-to-month,2040-VZIKE,No,No,Female,Fiber optic,Yes,100.85,3,0,No,Yes,Yes,Yes,Mailed check,Yes,No,Yes,Yes,No,49,4847.35
No,Month-to-month,2041-JIJCI,No,No,Female,DSL,Yes,64,0,0,Yes,No,Yes,No,Electronic check,Yes,No,No,Yes,No,5,370.25
No,Month-to-month,2043-WVTQJ,No,Yes,Male,DSL,No,55.7,0,0,No,Yes,No,Yes,Mailed check,Yes,No,No,No,No,1,55.7
No,Month-to-month,2045-BMBTJ,No,Yes,Female,DSL,No phone service,59.45,0,2,Yes,Yes,Yes,No,Bank transfer (automatic),No,Yes,Yes,Yes,No,33,1884.65
No,Month-to-month,2049-BAFNW,No,Yes,Female,DSL,No phone service,35.9,2,0,No,No,No,No,Mailed check,No,No,No,No,Yes,1,35.9
No,Month-to-month,2055-SIFSS,No,No,Female,DSL,Yes,51.65,0,0,No,No,No,Yes,Bank transfer (automatic),Yes,Yes,No,No,No,55,2838.55
No,Month-to-month,2061-VVFST,No,No internet service,Female,No,No,19.5,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,37,805.2
No,Month-to-month,2067-QYTCF,No,Yes,Female,Fiber optic,Yes,111.15,0,4,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,Yes,64,6953.4
No,Month-to-month,2070-XYMFH,No,Yes,Female,Fiber optic,Yes,79.35,0,0,No,No,Yes,No,Mailed check,Yes,Yes,No,No,No,23,1835.3
No,Month-to-month,2074-GUHPQ,Yes,Yes,Female,Fiber optic,Yes,92.7,0,0,Yes,No,Yes,No,Credit card (automatic),Yes,No,No,No,Yes,17,1556.85
No,Month-to-month,2075-RMJIK,Yes,No,Female,DSL,No,49.4,0,0,No,Yes,Yes,Yes,Mailed check,Yes,No,No,No,No,5,232.55
No,Month-to-month,2077-MPJQO,No,No,Male,Fiber optic,Yes,75.4,1,0,No,No,Yes,Yes,Electronic check,Yes,Yes,No,No,No,7,533.05
No,Month-to-month,2080-CAZNM,No,Yes,Female,Fiber optic,Yes,104.4,1,0,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,41,4133.95
No,Month-to-month,2080-GKCWQ,No,No,Male,Fiber optic,No,74.95,0,0,Yes,No,No,No,Electronic check,Yes,No,No,No,No,2,151.75
No,Month-to-month,2080-SRCDE,Yes,No internet service,Female,No,Yes,25.4,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,1,25.4
No,Month-to-month,2081-KJSQF,No,No internet service,Male,No,No,20.25,0,0,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,1,20.25
No,Month-to-month,2081-VEYEH,No,Yes,Male,Fiber optic,No,107.95,4,0,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,3,318.6
No,Month-to-month,2085-JVGAD,No,No internet service,Male,No,No,20.35,0,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,37,697.65
No,Month-to-month,2087-QAREY,No,Yes,Female,DSL,No,54.7,0,0,Yes,No,Yes,Yes,Mailed check,Yes,No,No,No,No,22,1178.75
No,Month-to-month,2096-XOTMO,Yes,No internet service,Female,No,No,19.35,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,16,275.9
No,Month-to-month,2101-RANCD,No,No,Female,Fiber optic,Yes,73.1,0,0,No,No,Yes,No,Electronic check,Yes,No,No,No,No,55,4144.9
No,Month-to-month,2103-ZRXFN,No,No,Male,DSL,Yes,50.75,0,0,No,No,No,No,Mailed check,Yes,No,No,No,No,1,50.75
No,Month-to-month,2105-PHWON,No,Yes,Female,Fiber optic,Yes,95,0,0,No,No,Yes,Yes,Credit card (automatic),Yes,No,No,Yes,Yes,33,3008.15
No,Month-to-month,2107-FBPTK,No,Yes,Female,Fiber optic,Yes,104.1,0,0,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,30,3121.1
No,Month-to-month,2108-GLPQB,No,Yes,Male,DSL,Yes,55.55,0,0,No,No,No,Yes,Credit card (automatic),Yes,No,No,No,No,25,1405.3
No,Month-to-month,2111-DWYHN,No,No internet service,Male,No,No,21.1,4,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,1,21.1
No,Month-to-month,2120-SMPEX,No,No internet service,Male,No,No,20.15,0,0,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,25,536.35
No,Month-to-month,2122-YWVYA,No,No,Female,Fiber optic,No,75.4,5,0,No,Yes,Yes,No,Electronic check,Yes,No,No,No,No,18,1380.4
No,Month-to-month,2123-AGEEN,No,Yes,Female,Fiber optic,No,84.35,0,0,No,No,Yes,No,Electronic check,Yes,Yes,Yes,No,No,7,609.65
No,Month-to-month,2129-ALKBS,Yes,No internet service,Female,No,Yes,26.2,0,0,No internet service,No internet service,Yes,Yes,Electronic check,Yes,No,No internet service,No internet service,No internet service,40,1077.5
No,Month-to-month,2133-TSRRM,Yes,Yes,Female,Fiber optic,No,105.35,3,0,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,No,34,3688.6
No,Month-to-month,2135-DQWAQ,No,No,Female,Fiber optic,No,85.3,0,0,Yes,No,Yes,No,Mailed check,Yes,No,Yes,No,No,5,420.45
No,Month-to-month,2139-FQHLM,No,Yes,Male,Fiber optic,No,89.95,0,0,No,No,No,No,Mailed check,Yes,No,Yes,No,Yes,19,1682.4
No,Month-to-month,2144-BFDSO,No,Yes,Female,Fiber optic,Yes,108.75,0,0,Yes,Yes,No,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes,No,50,5431.9
No,Month-to-month,2155-AMQRX,No,No,Female,DSL,Yes,54.9,0,0,No,No,Yes,No,Credit card (automatic),Yes,No,No,No,Yes,28,1505.15
No,Month-to-month,2159-TURXX,No,No internet service,Male,No,No,20.05,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,5,95.55
No,Month-to-month,2164-SOQXL,Yes,No internet service,Female,No,No,20.05,0,0,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,20,406.05
No,Month-to-month,2171-UDMFD,Yes,No internet service,Male,No,No,19.45,0,0,No internet service,No internet service,Yes,Yes,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,32,674.55
No,Month-to-month,2178-PMGCJ,No,No,Male,Fiber optic,No,69.7,0,0,No,No,Yes,No,Mailed check,Yes,No,No,No,No,22,1490.4
No,Month-to-month,2181-UAESM,No,Yes,Male,DSL,No,53.45,0,0,No,Yes,No,No,Electronic check,Yes,No,No,No,No,2,119.5
No,Month-to-month,2186-QZEYA,No,No,Female,DSL,Yes,58.55,0,0,Yes,Yes,Yes,No,Bank transfer (automatic),Yes,Yes,No,No,No,29,1718.95
No,Month-to-month,2187-PKZAY,No,No,Male,Fiber optic,No,79.95,4,0,No,No,Yes,No,Bank transfer (automatic),Yes,No,No,Yes,No,12,1043.4
No,Month-to-month,2190-BCXEC,No,No,Female,Fiber optic,Yes,78.85,0,0,No,No,Yes,Yes,Credit card (automatic),Yes,No,No,No,Yes,40,3126.85
No,Month-to-month,2195-VVRJF,No,No,Male,DSL,No,59.1,0,0,No,Yes,Yes,Yes,Credit card (automatic),Yes,Yes,No,Yes,No,18,1011.05
No,Month-to-month,2202-OUTMO,No,No,Female,DSL,Yes,60.85,0,0,No,Yes,Yes,Yes,Bank transfer (automatic),Yes,No,No,No,Yes,34,2003.6
No,Month-to-month,2203-GHNWN,No,Yes,Female,Fiber optic,Yes,79.65,0,0,No,No,Yes,Yes,Mailed check,Yes,No,No,No,No,24,1928.7
No,Month-to-month,2207-QPJED,No,Yes,Female,Fiber optic,No,90,0,0,No,No,No,Yes,Electronic check,Yes,Yes,Yes,No,Yes,37,3371.75
No,Month-to-month,2208-NQBCT,Yes,No,Female,Fiber optic,No,81.95,0,0,Yes,Yes,No,Yes,Electronic check,Yes,No,No,No,No,26,2070.05
No,Month-to-month,2208-UGTGR,No,No,Male,Fiber optic,Yes,98.6,0,0,Yes,No,No,No,Electronic check,Yes,No,Yes,Yes,No,56,5581.05
No,Month-to-month,2209-XADXF,No,No,Female,DSL,No phone service,25.25,0,0,No,No,No,No,Bank transfer (automatic),No,No,No,No,No,1,25.25
No,Month-to-month,2215-ZAFGX,No,No,Male,Fiber optic,Yes,85.5,0,0,No,No,Yes,No,Electronic check,Yes,No,Yes,No,No,9,791.7
No,Month-to-month,2220-IAHLS,No,No internet service,Female,No,No,19.4,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,1,19.4
No,Month-to-month,2227-JRSJX,No,No,Female,Fiber optic,No,99.15,0,0,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,21,1956.4
No,Month-to-month,2229-VWQJH,No,Yes,Female,DSL,No,49.3,0,0,No,No,Yes,No,Credit card (automatic),Yes,No,No,No,No,24,1233.25
No,Month-to-month,2233-FAGXV,Yes,No internet service,Female,No,Yes,24.3,0,0,No internet service,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,5,132.25
No,Month-to-month,2235-DWLJU,No,No,Female,DSL,No phone service,44.4,0,0,No,No,Yes,No,Electronic check,No,Yes,Yes,Yes,No,6,263.05
No,Month-to-month,2240-HSJQD,Yes,No,Male,Fiber optic,Yes,81.85,0,0,Yes,No,Yes,No,Mailed check,Yes,No,No,No,No,38,3141.7
No,Month-to-month,2243-FNMMI,No,No internet service,Male,No,No,19.4,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,20,415.4
No,Month-to-month,2250-IVBWA,Yes,No,Male,Fiber optic,No,81.05,0,0,Yes,Yes,No,Yes,Electronic check,Yes,No,No,No,No,64,5135.35
No,Month-to-month,2254-DLXRI,No,No,Female,Fiber optic,Yes,79.15,5,0,Yes,No,Yes,No,Mailed check,Yes,No,No,No,No,1,79.15
No,Month-to-month,2257-BOVXD,No,No,Male,DSL,Yes,66.6,0,0,No,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,No,Yes,14,979.5
No,Month-to-month,2262-SLNVK,No,No,Female,Fiber optic,No,70.1,5,0,No,No,No,No,Electronic check,Yes,No,No,No,No,1,70.1
No,Month-to-month,2267-FPIMA,No,No,Male,Fiber optic,Yes,94.4,0,0,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,Yes,No,50,4914.9
No,Month-to-month,2267-WTPYD,No,Yes,Female,Fiber optic,Yes,94,0,0,Yes,No,No,Yes,Credit card (automatic),Yes,Yes,No,Yes,No,57,5438.95
No,Month-to-month,2270-CHBFN,No,Yes,Female,Fiber optic,Yes,95.1,0,0,Yes,Yes,Yes,Yes,Credit card (automatic),Yes,No,No,No,Yes,44,4060.55
No,Month-to-month,2272-UOINI,No,No,Female,DSL,No,78.5,0,0,Yes,Yes,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,7,571.05
No,Month-to-month,2273-QCKXA,No,No,Male,DSL,No,49.05,0,0,No,No,No,No,Mailed check,Yes,No,No,No,Yes,1,49.05
No,Month-to-month,2275-RBYQS,No,No,Female,DSL,No,45.4,0,0,No,No,Yes,No,Mailed check,Yes,No,No,No,No,1,45.4
No,Month-to-month,2277-DJJDL,No,No,Male,Fiber optic,Yes,99,4,0,No,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,Yes,60,6017.9
No,Month-to-month,2277-VWCNI,No,No,Female,DSL,Yes,48.75,0,0,No,No,No,No,Mailed check,Yes,Yes,No,No,No,4,179.85
No,Month-to-month,2279-AXJJK,No,No,Male,Fiber optic,Yes,95.65,0,3,Yes,No,Yes,Yes,Credit card (automatic),Yes,No,No,Yes,Yes,52,5088.4
No,Month-to-month,2294-DMMUS,Yes,No,Female,DSL,Yes,70.45,0,0,No,No,Yes,Yes,Credit card (automatic),Yes,No,Yes,Yes,No,62,4300.45
No,Month-to-month,2303-PJYHN,No,No internet service,Female,No,No,19.85,5,0,No internet service,No internet service,No,Yes,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,2,52
No,Month-to-month,2305-MRGLV,No,No,Male,Fiber optic,No,76.55,0,0,No,No,No,Yes,Bank transfer (automatic),Yes,No,No,No,Yes,28,2065.4
No,Month-to-month,2308-STERM,No,No internet service,Female,No,No,19.4,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,2,61.05
No,Month-to-month,2320-SLKMB,No,Yes,Female,DSL,No phone service,44.45,0,0,No,No,Yes,No,Credit card (automatic),No,No,Yes,No,Yes,26,1183.8
No,Month-to-month,2320-YKQBO,No,No internet service,Female,No,No,19.3,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,7,144.95
No,Month-to-month,2322-VCZHZ,No,No,Male,Fiber optic,No,90,0,0,Yes,Yes,Yes,Yes,Electronic check,Yes,Yes,No,Yes,No,23,2024.1
No,Month-to-month,2325-NBPZG,No,No,Female,Fiber optic,No,74.55,0,0,No,Yes,Yes,No,Electronic check,Yes,No,No,No,No,3,233.65
No,Month-to-month,2338-BQEZT,No,No,Female,DSL,No,50.55,0,0,No,Yes,Yes,No,Credit card (automatic),Yes,No,No,No,No,55,2832.75
No,Month-to-month,2342-CKIAO,No,No internet service,Female,No,No,20.3,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,2,41.2
No,Month-to-month,2346-DJQTB,No,No,Female,DSL,No phone service,24.15,0,0,No,No,No,No,Electronic check,No,No,No,No,No,35,812.5
No,Month-to-month,2347-WKKAE,No,Yes,Male,Fiber optic,Yes,94.4,0,0,No,Yes,Yes,Yes,Electronic check,Yes,No,No,Yes,No,42,4014.6
No,Month-to-month,2359-KLTEK,Yes,Yes,Female,Fiber optic,No,94.9,0,0,No,No,Yes,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,No,41,3848
No,Month-to-month,2360-RDGRO,No,Yes,Male,Fiber optic,Yes,104.25,0,1,No,Yes,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,65,6812.95
No,Month-to-month,2363-BJLSL,No,Yes,Male,DSL,No,80.4,0,0,Yes,No,Yes,No,Bank transfer (automatic),Yes,No,Yes,Yes,Yes,62,4981.15
No,Month-to-month,2369-FEVNO,No,No internet service,Male,No,No,19.9,0,0,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,1,19.9
No,Month-to-month,2371-JQHZZ,No,No,Male,Fiber optic,Yes,93,4,0,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,24,2248.05
No,Month-to-month,2371-JUNGC,No,No internet service,Male,No,No,20.25,5,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,11,208
No,Month-to-month,2373-NTKOD,No,No,Male,DSL,No,66.25,0,0,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,8,546.45
No,Month-to-month,2378-HTWFW,No,No,Male,Fiber optic,Yes,91,0,1,No,Yes,No,No,Credit card (automatic),Yes,Yes,No,Yes,No,35,3180.5
No,Month-to-month,2378-VTKDH,No,Yes,Male,Fiber optic,Yes,104.35,4,0,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,65,6578.55
No,Month-to-month,2386-OWURY,No,No,Female,Fiber optic,No,95.3,0,0,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,Yes,58,5817.7
No,Month-to-month,2393-DIVAI,No,No internet service,Female,No,No,20,0,0,No internet service,No internet service,Yes,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,3,61.7
No,Month-to-month,2408-PSJVE,Yes,Yes,Male,DSL,No,61.9,0,0,Yes,No,Yes,Yes,Mailed check,Yes,No,No,No,Yes,44,2924.05
No,Month-to-month,2410-CIYFZ,Yes,No internet service,Male,No,No,20.4,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,2,42.9
No,Month-to-month,2424-WVHPL,No,No,Male,Fiber optic,No,74.7,0,0,No,No,No,No,Electronic check,Yes,Yes,No,No,Yes,1,74.7
No,Month-to-month,2428-ZMCTB,No,No internet service,Male,No,No,19.75,0,0,No internet service,No internet service,No,No,Credit card (automatic),Yes,No,No internet service,No internet service,No internet service,10,208.25
No,Month-to-month,2436-QBZFP,Yes,No,Female,DSL,No phone service,39.2,4,0,Yes,No,No,Yes,Electronic check,No,No,Yes,No,No,22,849.9
No,Month-to-month,2439-LYPMQ,No,Yes,Male,Fiber optic,Yes,102.6,0,0,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,38,4009.2
No,Month-to-month,2439-QKJUL,No,No internet service,Male,No,No,20.25,0,0,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,5,109.8
No,Month-to-month,2446-ZKVAF,No,No,Male,DSL,Yes,56.8,0,0,Yes,No,No,Yes,Credit card (automatic),Yes,No,No,No,No,18,1074.65
No,Month-to-month,2452-KDRRH,No,Yes,Male,Fiber optic,Yes,101.4,0,0,No,No,Yes,No,Credit card (automatic),Yes,Yes,Yes,Yes,No,67,6841.05
